"MEGA FIRST","MFCB","3069"
"FIMA","FIMACOR","3107"
"KARAMBUNAI CORP","KBUNAI","3115"
"YNH PROPERTY","YNHPROP","3158"
"LAND & GENERAL","L&G","3174"
"GENTING","GENTING","3182"
"GEORGE KENT","GKENT","3204"
"BERJAYA ASSETS","BJASSET","3239"
"GUH","GUH","3247"
"HEINEKEN MALAYSIA","HEIM","3255"
"HEXZA","HEXZA","3298"
"HONG LEONG INDUSTRIES","HLIND","3301"
"IJM","IJM","3336"
"INSAS","INSAS","3379"
"BERJAYA","BJCORP","3395"
"EASTERN & ORIENTAL","E&O","3417"
"JOHAN","JOHAN","3441"
"KECK SENG","KSENG","3476"
"DAMANSARA REALTY","DBHD","3484"
"MARCO","MARCO","3514"
"KIAN JOO CAN FACTORY","KIANJOO","3522"
"ECOFIRST CONSOLIDATED","ECOFIRS","3557"
"WCE","WCEHB","3565"
"LIEN HOE","LIENHOE","3573"
"PARAGON GLOBE","PGLOBE","3611"
"MALAYAN FLOUR MILLS","MFLOUR","3662"
"FRASER & NEAVE","F&N","3689"
"PANASONIC MANUFACTURING MALAYSIA","PANAMY","3719"
"SUNSURIA","SUNSURIA","3743"
"MELEWAR INDUSTRIAL","MELEWAR","3778"
"LAFARGE MALAYSIA","LAFMSIA","3794"
"MISC","MISC","3816"
"MAGNUM","MAGNUM","3859"
"MALAYSIAN PACIFIC INDUSTRIES","MPI","3867"
"MUDA","MUDA","3883"
"MALAYAN UNITED INDUSTRIES","MUIIND","3891"
"MULPHA","MULPHA","3905"
"MUI PROPERTIES","MUIPROP","3913"
"MWE","MWE","3921"
"DUTALAND","DUTALND","3948"
"ORIENTAL","ORIENT","4006"
"TADMAX RESOURCES","TADMAX","4022"
"ASIAN PAC","ASIAPAC","4057"
"PPB","PPB","4065"
"PAN MALAYSIA","PMCORP","4081"
"BRITISH AMERICAN TOBACCO","BAT","4162"
"SIME DARBY","SIME","4197"
"BERJAYA LAND","BJLAND","4219"
"LION INDUSTRIES","LIONIND","4235"
"WTK","WTK","4243"
"I-BERHAD","IBHD","4251"
"SEAL INCORPORATED","SEAL","4286"
"SIN HENG CHAN (MALAYA)","SHCHAN","4316"
"HENGYUAN REFINING COMPANY","HENGYUAN","4324"
"TURIYA","TURIYA","4359"
"SOUTH MALAYSIA INDUSTRIES","SMI","4375"
"JAYA TIASA","JTIASA","4383"
"TAN CHONG MOTOR","TCHONG","4405"
"TASEK","TASEK","4448"
"TASEK CORP-6EF","TASEK-PA","4448P"
"DAGANG NEXCHANGE","DNEX","4456"
"PEGASUS HEIGHTS","PHB","4464"
"MEDIA PRIMA","MEDIA","4502"
"UMW","UMW","4588"
"SAPURA RESOURCES","SAPRES","4596"
"POS MALAYSIA","POS","4634"
"YTL","YTL","4677"
"NESTLE","NESTLE","4707"
"GENTING MALAYSIA","GENM","4715"
"JAKS RESOURCES","JAKS","4723"
"SCIENTEX","SCIENTX","4731"
"ANCOM","ANCOM","4758"
"KONSORTIUM TRANSNASIONAL","KTB","4847"
"TELEKOM MALAYSIA","TM","4863"
"TA ENTERPRISE","TA","4898"
"MALPAC","MALPAC","4936"
"NYLEX","NYLEX","4944"
"AMANAH HARTA TANAH PNB","AHP","4952"
"VERSATILE CREATIVE","VERSATL","4995"
"HUME INDUSTRIES","HUMEIND","5000"
"MIECO CHIPBOARD","MIECO","5001"
"UNISEM","UNISEM","5005"
"MERGE ENERGY","MERGE","5006"
"CHIN WELL","CHINWEL","5007"
"HARRISONS HOLDINGS","HARISON","5008"
"WHITE HORSE","WTHORSE","5009"
"TONG HERR RESOURCES","TONGHER","5010"
"MESINIAGA","MSNIAGA","5011"
"TA ANN","TAANN","5012"
"MALAYSIA AIRPORTS","AIRPORT","5014"
"APM AUTOMOTIVE","APM","5015"
"WARISAN TC","WARISAN","5016"
"GLOMAC","GLOMAC","5020"
"AYS VENTURES","AYS","5021"
"PAOS","PAOS","5022"
"HUP SENG INDUSTRIES","HUPSENG","5024"
"NWP","NWP","5025"
"MHC PLANTATIONS","MHC","5026"
"KIM LOONG RESOURCES","KMLOONG","5027"
"HEITECH PADU","HTPADU","5028"
"FAR EAST","FAREAST","5029"
"TIME DOTCOM","TIMECOM","5031"
"BINTULU PORT","BIPORT","5032"
"KNUSFORD","KNUSFOR","5035"
"EDARAN","EDARAN","5036"
"COMPUGATES","COMPUGT","5037"
"KSL","KSL","5038"
"MEDA INC.","MEDAINC","5040"
"PBA","PBA","5041"
"TSR CAPITAL","TSRCAP","5042"
"NPC RESOURCES","NPC","5047"
"YI-LAI","YILAI","5048"
"COUNTRY VIEW","CVIEW","5049"
"OSK","OSK","5053"
"TRC SYNERGY","TRC","5054"
"ENGTEX","ENGTEX","5056"
"KINSTEEL","KINSTEL","5060"
"HUA YANG","HUAYANG","5062"
"ORNAPAPER","ORNA","5065"
"NTPM","NTPM","5066"
"LUSTER INDUSTRIES.","LUSTER","5068"
"BLD PLANTATION.","BLDPLNT","5069"
"PROTASCO","PRTASCO","5070"
"COASTAL CONTRACTS","COASTAL","5071"
"HIAP TECK VENTURE","HIAPTEK","5072"
"NAIM","NAIM","5073"
"PLENITUDE","PLENITU","5075"
"MALAYSIAN BULK CARRIERS","MAYBULK","5077"
"MARINE & GENERAL","M&G","5078"
"POH KONG","POHKONG","5080"
"ESTHETICS","EIG","5081"
"CYMAO","CYMAO","5082"
"IBRACO","IBRACO","5084"
"MUDAJAYA","MUDAJYA","5085"
"MYCRON STEEL","MYCRON","5087"
"APEX EQUITY","APEX","5088"
"MEDIA CHINESE INTERNATIONAL LIMITED","MEDIAC","5090"
"LCTH","LCTH","5092"
"CSC STEEL","CSCSTEL","5094"
"HEVEABOARD","HEVEA","5095"
"MALAYSIA STEEL WORKS (KL)","MASTEEL","5098"
"AIRASIA","AIRASIA","5099"
"BP PLASTICS HOLDING","BPPLAS","5100"
"EVERGREEN FIBREBOARD","EVERGRN","5101"
"GUAN CHONG","GCB","5102"
"CNI","CNI","5104"
"CAN-ONE","CANONE","5105"
"AXIS REIT","AXREIT","5106"
"IQ","IQGROUP","5107"
"ICAPITAL.BIZ","ICAP","5108"
"YTL HOSPITALITY REIT","YTLREIT","5109"
"UOA REIT","UOAREIT","5110"
"TOWER REIT","TWRREIT","5111"
"TH PLANTATIONS","THPLANT","5112"
"RIMBUNAN SAWIT","RSAWIT","5113"
"ALAM MARITIM RESOURCES","ALAM","5115"
"AL-`AQAR HEALTHCARE REIT","ALAQAR","5116"
"AMFIRST REIT","AMFIRST","5120"
"HEKTAR REIT","HEKTAR","5121"
"MRCB-QUILL REIT","MQREIT","5123"
"PANTECH","PANTECH","5125"
"SARAWAK OIL PALMS","SOP","5126"
"AMANAHRAYA","ARREIT","5127"
"MELATI EHSAN","MELATI","5129"
"ATRIUM REIT","ATRIUM","5130"
"ZHULIAN","ZHULIAN","5131"
"DELEUM","DELEUM","5132"
"PETRA ENERGY","PENERGY","5133"
"SOUTHERN ACIDS","SAB","5134"
"SARAWAK PLANTATION","SWKPLNT","5135"
"COMPLETE LOGISTIC SERVICES","COMPLET","5136"
"HAP SENG PLANTATIONS","HSPLANT","5138"
"AEON CREDIT SERVICE","AEONCR","5139"
"TASCO","TASCO","5140"
"DAYANG ENTERPRISE","DAYANG","5141"
"WAH SEONG","WASEONG","5142"
"LUXCHEM","LUXCHEM","5143"
"SEALINK","SEALINK","5145"
"SAMCHEM","SAMCHEM","5147"
"UEM SUNRISE","UEMS","5148"
"TAS OFFSHORE","TAS","5149"
"MULTI SPORTS","MSPORTS","5150"
"HALEX","HALEX","5151"
"MUAR BAN LEE","MBL","5152"
"XINGQUAN INTERNATIONAL SPORTS","XINQUAN","5155"
"XIDELANG HOLDINGS LTD","XDL","5156"
"SAUDEE","SAUDEE","5157"
"TA GLOBAL","TAGB","5158"
"YOONG ONN","YOCB","5159"
"HOMERITZ","HOMERIZ","5160"
"JCY","JCY","5161"
"ECS ICT","ECS","5162"
"SEREMBAN ENGINEERING","SEB","5163"
"HOCK HENG STONE INDUSTRIES","HOKHENG","5165"
"MINDA GLOBAL","MINDA","5166"
"TURBO-MECH","TURBO","5167"
"HARTALEGA","HARTA","5168"
"HO HUP","HOHUP","5169"
"SARAWAK CABLE","SCABLE","5170"
"KIMLUN","KIMLUN","5171"
"K-STAR SPORTS LIMITED","KSTAR","5172"
"SHIN YANG SHIPPING","SYSCORP","5173"
"IVORY PROPERTIES","IVORY","5175"
"SUNWAY REIT","SUNREIT","5176"
"TATT GIAP","TATGIAP","5178"
"CAPITALAND MALAYSIA MALL TRUST","CMMT","5180"
"SIG GASES","SIGGAS","5181"
"MCT","MCT","5182"
"PETRONAS CHEMICALS","PCHEM","5183"
"CYPARK RESOURCES","CYPARK","5184"
"AFFIN BANK","AFFIN","5185"
"MALAYSIA MARINE AND HEAVY ENGINEERING","MHB","5186"
"HB GLOBAL LIMITED","HBGLOB","5187"
"CHINA OUHUA WINERY","CNOUHUA","5188"
"MAXWELL","MAXWELL","5189"
"BENALEC","BENALEC","5190"
"TAMBUN INDAH LAND","TAMBUN","5191"
"K.SENG SENG","KSSC","5192"
"APFT","APFT","5194"
"CENSOF","CENSOF","5195"
"BERJAYA FOOD","BJFOOD","5196"
"FOCUS LUMBER","FLBHD","5197"
"ABM FUJIYA","AFUJIYA","5198"
"HIBISCUS PETROLEUM","HIBISCS","5199"
"UOA DEVELOPMENT","UOADEV","5200"
"MSM","MSM","5202"
"PRESTARIANG","PRESBHD","5204"
"EVERSENDAI","SENDAI","5205"
"SBC","SBCCORP","5207"
"EITA RESOURCES","EITA","5208"
"GAS MALAYSIA","GASMSIA","5209"
"BUMI ARMADA","ARMADA","5210"
"SUNWAY","SUNWAY","5211"
"PAVILION REIT","PAVREIT","5212"
"SENTORIA","SNTORIA","5213"
"CHINA STATIONERY LIMITED","CSL","5214"
"DATASONIC","DSONIC","5216"
"SAPURA ENERGY","SAPNRG","5218"
"PESTECH","PESTECH","5219"
"GLOBALTEC FORMATION","GLOTEC","5220"
"FELDA GLOBAL VENTURES","FGV","5222"
"MENTIGA","MENTIGA","5223"
"IHH HEALTHCARE","IHH","5225"
"GABUNGAN AQRS","GBGAQRS","5226"
"IGB REIT","IGBREIT","5227"
"ELK-DESA RESOURCES","ELKDESA","5228"
"CHINA AUTOMOBILE PARTS HOLDINGS LIMITED","CAP","5229"
"TUNE PROTECT","TUNEPRO","5230"
"PELIKAN","PELIKAN","5231"
"LEON FUAT","LEONFB","5232"
"CLIQ ENERGY","CLIQ","5234"
"KLCC PROPERTY","KLCC","5235SS"
"MATRIX CONCEPTS","MATRIX","5236"
"MPHB CAPITAL","MPHBCAP","5237"
"AIRASIA X","AAX","5238"
"TITIJAYA LAND","TITIJYA","5239"
"SONA PETROLEUM","SONA","5241"
"SOLID AUTOMOTIVE","SOLID","5242"
"UMW OIL & GAS","UMWOG","5243"
"CARING PHARMACY","CARING","5245"
"WESTPORTS","WPRTS","5246"
"KAREX","KAREX","5247"
"BERMAZ AUTO","BAUTO","5248"
"IOI PROPERTIES","IOIPG","5249"
"7-ELEVEN MALAYSIA","SEM","5250"
"SASBADI","SASBADI","5252"
"ECONPILE","ECONBHD","5253"
"BOUSTEAD PLANTATIONS","BPLANT","5254"
"ICON OFFSHORE","ICON","5255"
"REACH ENERGY","REACH","5256"
"CARIMIN PETROLEUM","CARIMIN","5257"
"BIMB","BIMB","5258"
"E.A.TECHNIQUE","EATECH","5259"
"ONLY WORLD","OWG","5260"
"SUNWAY CONSTRUCTION","SUNCON","5263"
"MALAKOFF","MALAKOF","5264"
"DOLPHIN","DOLPHIN","5265"
"XIN HWA","XINHWA","5267"
"IKHMAS JAYA","IKHMAS","5268"
"AL-SALAM REIT","ALSREIT","5269"
"RED SENA","RSENA","5270"
"PECCA","PECCA","5271"
"RANHILL","RANHILL","5272"
"CHIN HIN","CHINHIN","5273"
"HONG LEONG CAPITAL","HLCAP","5274"
"MYNEWS","MYNEWS","5275"
"DANCOMECH","DANCO","5276"
"FOUNDPAC","FPGROUP","5277"
"RHONE MA","RHONEMA","5278"
"SERBA DINAMIK","SERBADK","5279"
"KIP REIT","KIPREIT","5280"
"ADVANCECON","ADVCON","5281"
"ECO WORLD","EWINT","5283"
"LOTTE CHEMICAL TITAN HOLDING","LCTITAN","5284"
